ticker,company
PRFT,Perficient, Inc.
ANAY,American National Group
III,Information Services Group, Inc.
WIRE,Encore Wire Corporation
OFS,OFS Capital Corp
DXLG,Destination XL Group Inc
PMBC,Pacific Mercantile Bancorp
FTNT,Fortinet
CG,Carlyle Group
GAIN,Gladstone Investment Corporation
SBNY,Signature Bank
TGA,TransGlobe Energy Corporation
TRNS,Transcat, Inc.
AAVAS,Aavas Financiers Ltd
PDBC,Invesco Optimum
JYNT,Joint Corp
CRAI,CRA International, Inc.
CSWC,Capital Southwest Corporation
ARLP,Alliance Resource Partners, L.P.
UHAL,AMERCO
